topicId,rank,docId,filename
0,0,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
0,1,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
0,2,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
0,3,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
0,4,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
0,5,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
0,6,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
0,7,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
1,0,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
1,1,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
1,2,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
1,3,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
1,4,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
1,5,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
1,6,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
1,7,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
2,0,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
2,1,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
2,2,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
2,3,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
2,4,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
2,5,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
2,6,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
2,7,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
3,0,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
3,1,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
3,2,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
3,3,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
3,4,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
3,5,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
3,6,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
3,7,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
4,0,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
4,1,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
4,2,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
4,3,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
4,4,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
4,5,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
4,6,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
4,7,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
5,0,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
5,1,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
5,2,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
5,3,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
5,4,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
5,5,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
5,6,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
5,7,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
6,0,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
6,1,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
6,2,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
6,3,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
6,4,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
6,5,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
6,6,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
6,7,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
7,0,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
7,1,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
7,2,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
7,3,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
7,4,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
7,5,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
7,6,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
7,7,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
8,0,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
8,1,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
8,2,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
8,3,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
8,4,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
8,5,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
8,6,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
8,7,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
9,0,0,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys1-February-1992.txt
9,1,3,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Aug-Sept-1993.txt
9,2,5,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys5-July-1992.txt
9,3,1,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys10-December-1992.txt
9,4,6,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys6-August-1992.txt
9,5,4,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys15-Oct-Nov-1993.txt
9,6,7,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys9-November-1992.txt
9,7,2,file:/C:/Users/Willi/DigHist/Week6/tmt/input/BoysWillBeBoys12-March-1993.txt
